Panos@ena,duo,tria,tessera,pente
Κλείσιμο@Τέλος,Τέρμα,Τελικός,Λήξη,Συμφωνία
Τρόλεϊ@Σουπερ-μάρκετ,Τραμ,Λεωφορείο,Ηλεκτρικός,Ρόδες
Τζατζίκι@Σκόρδο,Ορεκτικό,Γιαούρτι,Αγγούρι,Σουβλάκι
Γκολ@Σκορ,Μπάλα,Τέρμα,Νίκη,Μεθυσμένος
Σκουφάκι Μπάνιου@Μπάνιο,Μαλλιά,Στεγνά,Ξενοδοχείο,Βρεγμένα
Βραστήρας@Κοχλάζω,Τσάι,Καφές,Νερό,Πατάτες
Ορθοδοντική@Σιδεράκια,Στραβός,Παιδιά,Στόμα,Ισιώνω
Έγκυος@Μωρό,Περιμένω,Προγεννητικός έλεγχος,Μητέρα,Άδεια
Παναγία των Παρισίων@Γαλλία,Κουασιμόδος,Εσμεράλντα,Καμπαναριό,Κακάσχημος
Αστερισμός@Άστρο,Ομάδα,Σχήμα,Πουλιά,Ζώδιο
Αμοιβή@Βραβείο,Κίνητρο,Πληρώνω,Μισθός,Εύρετρα
Αναθεώρηση@Νόμος,Συνθήκη,Σύνταγμα,Άποψη,Ιδέα
Στεγνωτήρας@Μπουγάδα,Ζεστός,Αέρας,Περιστροφή,Ρούχα
Στεγνώνω@Ξεθώριασμα,Μπαίνω,Πλύσιμο,Τελειώνω,Νερό
Πιτζάμες@Νύχτα,Κρεβάτι,Μπέιμπι-ντολ,Νυχτικό
Γή@Πλανήτης,Κόσμος,Χώμα,Σκουλήκι,Στρογγυλή
Εισιτήριο Διαρκείας@Τακτικά,Εξοικονόμηση,Τρένο,Ταξίδι,Γήπεδο
Μαθήματα οδήγησης@Νι,Δίπλωμα,Δάσκαλος,Εξετάσεις,Σήματα,Μαθαίνω
Κοπάδι@Αγέλη,Ζώα,Πρόβατα,Μπουλούκι,Βοσκή
Οθόνη@Υπολογιστής,Τηλεόραση,Μεγάλη,Μικρή,Κινηματογράφος
Ζώνη@Ασφαλείας,Δερμάτινη,Εμπόλεμη,Παντελόνι,Μέση
Κούνια@Λίκνο,Τραμπάλα,Αλυσίδα,Τσουλήθρα,Μωρό
Βασιλικός@Θάμνος,Γλάστρα,Παραθύρι,Πέστο,Μυρωδικό
Τοπίο@Εικόνα,Τέχνη,Θέα,Κήπος,Φύση
